date,台北市,新北市,桃園市,台中市,台南市,高雄市,新竹縣,彰化縣,雲林縣,屏東縣,基隆市,宜蘭縣,新竹市,苗栗縣,嘉義市,嘉義縣,花蓮縣,台東縣,南投縣,澎湖縣,金門縣,連江縣,總計,公費累計接種人次,自費累計接種人次,AstraZeneca,Moderna,Moderna雙價,高端,BioNTech,Novavax,第一劑累積接種人次,第二劑累積接種人次,追加劑,第二次追加劑,第三次追加劑,基礎加強劑
2022-09-21,,,,,,,,,,,,,,,,,,,,,,,61448862,,,15297287,23684645,,3036067,19028154,402709,21676926,20263324,16919892,2402976,,185744
2022-09-22,,,,,,,,,,,,,,,,,,,,,,,61481295,,,15297290,23699368,,3037662,19042390,404585,21682465,20271900,16928105,2413010,,185815
2022-09-23,,,,,,,,,,,,,,,,,,,,,,,61531001,,,15297293,23719158,,3039006,19069256,406288,21691189,20288219,16942109,2423451,,186033
2022-09-25,,,,,,,,,,,,,,,,,,,,,,,61581314,,,15297296,23732541,16122,3040340,19087855,407160,21697959,20300584,16952454,2440236,4006,186075
2022-09-26,,,,,,,,,,,,,,,,,,,,,,,61636102,,,15297300,23743090,49916,3041560,19096261,407975,21700979,20306228,16959889,2462917,19971,186118
2022-09-27,,,,,,,,,,,,,,,,,,,,,,,61701398,,,15297307,23754692,90385,3042699,19106634,409681,21704867,20313023,16968376,2490167,38832,186133
2022-09-28,,,,,,,,,,,,,,,,,,,,,,,61747653,,,15297316,23765443,108356,3043903,19121591,411044,21709557,20322449,16976272,2506916,46430,186029
2022-09-29,,,,,,,,,,,,,,,,,,,,,,,61791725,,,15297325,23775905,126858,3044852,19134875,411910,21713782,20331089,16984165,2522678,53923,186088
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,61849718,,,15297325,23790607,146289,3048088,19154461,412948,21721462,20345491,16994990,2539486,62226,186063
2022-10-02,,,,,,,,,,,,,,,,,,,,,,,61879773,,,15297325,23799146,156321,3046676,19166732,413573,21723088,20353651,17001717,2548173,67065,186079
2022-10-03,,,,,,,,,,,,,,,,,,,,,,,61953164,,,15297329,23805686,214770,3047410,19171297,416672,21724888,20357758,17007957,2579488,96903,186170
2022-10-04,,,,,,,,,,,,,,,,,,,,,,,62036697,,,15297312,23812621,282045,3048137,19178256,418326,21727103,20362996,17014176,2617642,128584,186196
